Ticker,NPM_Y,GPM_X1,OPM_X2,EBITDA_M_X3,ROA_X5,ROE_X6,CurrRatio_X7,QuickRatio_X8,CashPS_X10,LogOpCashFlow_X11,FCF_PS_X12,DER_X13,PER_X16,PBV_X17,PSR_X18,FirmSize_X19,RevGrowth_X20
ADCP,0.04146,0.25689,-0.015360001,0.04024,0.00068000006,0.0029499999,1.521,0.042,0.8607667515807668,24.478958375439976,-7.464783797544784,47.994,115.90186012499998,0.45939854,6.464354,27.813342624935835,-0.453125
FMII,0.39859498125,0.73585,0.46311375624999995,0.51207,0.01978,0.03422,2.689,0.026,0.22035536,21.65035410386321,-0.20165922,7.831,65.940056,2.2292025,32.20455,28.0685015323117,-0.453125
SMAR,0.020869998,0.111269996,0.052249998,0.04002,0.04651,0.089320004,1.919,0.641,533.7088592172603,29.466160937280872,149.54602889564947,72.852,8.397781,0.7211372,0.17504144,30.367855624991225,0.097
TBLA,0.03889,0.17119,0.10548,0.16729,0.055710003,0.09507,1.174,0.534,131.8799177430199,28.47535769188282,-89.75242766083986,134.96012499999998,4.605454,0.42467788,0.1790228,28.9698433059732,0.387
KEEN,0.10223,0.60064,0.46311375624999995,0.51273996,0.02892,0.02204,1.649,1.383,0.0002809662296926,19.165081778375473,0.0008900103305432,52.967,65.13286,34.896095887499996,76.3275764,28.93519500117277,-0.174
ASLI,-0.06078,0.12562999,-0.18273625375,0.11253,-0.00682,-0.033570003,3.516,1.451,0.71541456896,24.57219458281296,0.2293183488,9.438,115.90186012499998,6.347398,11.306244,28.704315551626383,-0.453125
SMBR,0.097320005,0.30734,0.13003,0.21961,0.047020003,0.07312,1.443,1.088,3.065060329029805,26.40087418073321,14.108403737009745,15.563,10.83785,0.7613604,1.0474104,28.579763132704716,0.201
BSSR,0.11,0.29399002,0.09264,0.21033001,0.14829001,0.27105,2.744,1.295,0.01676333269635,19.165081778375473,0.0141173017389642,0.286,7.3723617,34.896095887499996,76.3275764,29.94869384390523,-0.2
INKP,0.16702,0.30212,0.21389,0.25694,0.03088,0.08108,2.57,2.063,0.6430778421248234,20.274398810737804,-0.0415475614622282,73.499,5.128622,34.896095887499996,76.3275764,31.434613601933723,-0.023
GJTL,0.05579,0.19272,0.09871,0.14109,0.05039,0.10264,1.505,1.031,358.891320711354,27.842982422368134,-89.75242766083986,54.454,3.698355,0.36193594,0.20659547,28.9281095999752,-0.06
CITY,0.11882,0.55645,0.13137999,0.13818,0.01066,0.01915,6.9083749999999995,2.035,8.92607610344182,24.68507552990675,-3.9686844280441016,10.565,62.153847,1.2426028,7.787549,27.718892950266557,0.076
MGNA,0.13774,0.53183,0.23802,0.0,0.04954,0.17926,0.262,0.168,0.759000194292483,22.204629825531143,0.0,134.96012499999998,7.4954195,27.979277,20.480925,27.54868326844616,-0.052
MERK,0.1627,0.40153,0.29729,0.22862,0.14806,0.22844,6.761,3.586,383.4701897142857,26.05570951975884,149.54602889564947,1.819,8.01784,1.7205689,1.306694,27.99120987916708,0.182
KPIG,0.27609,0.41728002,0.46311375624999995,0.34319,0.01233,0.02348,0.675,0.138,1.21366773710947,27.55598839753109,-3.1882228641448904,21.503,24.489796,0.62801355,6.912826,30.51996744388956,0.5878749999999999
IPCC,0.28308,0.41237998,0.37817,0.28761998,0.1011,0.19577,5.26,4.698624999999999,530.6000171646835,26.72107154958253,149.54602889564947,33.819,8.828251,1.7138484,2.558649,28.464041847744717,0.085
HEXA,0.05817,0.20388001,0.08758,0.10903,0.07315,0.17781,1.485,0.641,0.0305144619047619,19.165081778375473,-0.0214204761904761,93.906,6.504438,34.896095887499996,76.3275764,28.903586694223176,0.348
SOCI,0.10441,0.2609,0.21117,0.30258,0.0313,0.042290002,0.793,0.417,0.0011056804079898,19.165081778375473,-0.0073800028332625,46.425,10.345685,34.896095887499996,76.3275764,28.70825446284234,-0.017
POLU,0.06028,0.12773,0.07861,0.04877,0.01413,0.07165,2.037,1.594,94.18436334933334,24.26638047144413,25.861521408,17.952,115.90186012499998,34.896095887499996,76.3275764,30.248873079771908,0.5878749999999999
GWSA,0.39859498125,0.54791,-0.18273625375,-0.32741624875,-0.00657,0.01012,6.9083749999999995,1.44,21.7743590193776,25.35642636379304,-14.427201681887404,2.876,20.417126,0.20160787,21.633097,28.00323366853676,-0.072
UCID,0.00232,0.1848,-0.03734,0.05151,0.00425,0.00364,2.385,1.838,393.6488659100192,25.27031948014734,-25.27184394891916,3.052,115.90186012499998,0.31064346,0.19892626,28.202395998198384,-0.027
FAPA,0.14081,0.29999,0.23264,0.32092,0.108459994,0.27458,0.789,0.302,214.4195258786697,28.345430357368205,94.08883437650232,121.485,22.331116,6.512209,3.0583336,30.699995115207766,0.272
DMND,0.03802,0.19714001,0.046830002,0.06161,0.036059998,0.06561,3.284,1.172,60.67862235641889,27.08754831966047,0.1801790574269522,0.163,18.201284,1.1373875,0.6784724,29.61109727027801,0.179
